Age,Gender,Weight (kg),BMI,Avg_BPM,Session_Duration (hours),Calories_Burned,source,Exercise_Intensity,Weather_Conditions,Max_BPM_calc,HR_Intensity_Ratio,HR_Duration,Intensity_Duration,Weight_Duration,BMI_Duration,log_Calories
56,1,88.3,30.2,157,1.69,1313.0,0,5.0,1,164,0.9573170731707317,265.33,8.45,149.227,51.038,7.1808311990445555
46,0,74.9,32.0,151,1.3,883.0,0,5.0,1,174,0.867816091954023,196.3,6.5,97.37,41.6,6.784457062637643
32,0,68.1,24.71,122,1.11,677.0,0,5.0,1,188,0.648936170212766,135.42000000000002,5.550000000000001,75.591,27.428100000000004,6.519147287940395
25,1,53.2,18.41,164,0.59,532.0,0,5.0,1,195,0.841025641025641,96.75999999999999,2.9499999999999997,31.388,10.8619,6.278521424165844
38,1,46.1,14.39,158,0.64,556.0,0,5.0,1,182,0.8681318681318682,101.12,3.2,29.504,9.2096,6.322565239927284
56,0,58.0,20.55,156,1.59,1116.0,0,5.0,1,164,0.9512195121951219,248.04000000000002,7.95,92.22,32.6745,7.018401799069201
36,1,70.3,23.76,169,1.49,1385.0,0,5.0,1,184,0.9184782608695652,251.81,7.45,104.747,35.4024,7.234177179749849
40,0,69.7,30.57,141,1.27,895.0,0,5.0,1,180,0.7833333333333333,179.07,6.35,88.519,38.8239,6.79794041297493
28,1,121.7,32.34,127,1.03,719.0,0,5.0,1,192,0.6614583333333334,130.81,5.15,125.351,33.3102,6.579251212010101
28,1,101.8,30.07,136,1.08,808.0,0,5.0,1,192,0.7083333333333334,146.88,5.4,109.944,32.4756,6.695798917058491
41,1,120.8,43.31,146,0.82,593.0,0,5.0,1,179,0.8156424581005587,119.72,4.1,99.056,35.5142,6.386879319362645
53,1,51.7,17.89,152,1.15,865.0,0,5.0,1,167,0.9101796407185628,174.79999999999998,5.75,59.455,20.5735,6.763884908562435
57,1,112.5,43.4,165,1.24,1013.0,0,5.0,1,163,1.0122699386503067,204.6,6.2,139.5,53.815999999999995,6.921658184151129
41,1,94.5,23.62,136,1.18,794.0,0,5.0,1,179,0.7597765363128491,160.48,5.8999999999999995,111.50999999999999,27.8716,6.678342114654332
20,1,117.7,35.93,161,1.35,1195.0,0,5.0,1,200,0.805,217.35000000000002,6.75,158.895,48.505500000000005,7.086737934510577
39,0,42.5,13.88,131,1.13,740.0,0,5.0,1,181,0.7237569060773481,148.02999999999997,5.6499999999999995,48.025,15.6844,6.608000625296087
19,0,64.0,27.34,167,1.33,1111.0,0,5.0,1,201,0.8308457711442786,222.11,6.65,85.12,36.3622,7.013915474810528
41,0,43.8,13.98,165,1.19,884.0,0,5.0,1,179,0.9217877094972067,196.35,5.949999999999999,52.12199999999999,16.6362,6.785587645007929
47,0,66.8,21.81,146,1.13,742.0,0,5.0,1,173,0.8439306358381503,164.98,5.6499999999999995,75.484,24.645299999999995,6.610696044717759
55,0,75.2,26.96,167,1.37,1030.0,0,5.0,1,165,1.0121212121212122,228.79000000000002,6.8500000000000005,103.02400000000002,36.9352,6.93828448401696
19,1,89.0,28.41,127,1.5,1048.0,0,5.0,1,201,0.6318407960199005,190.5,7.5,133.5,42.615,6.955592608396297
38,1,71.9,22.95,142,1.12,875.0,0,5.0,1,182,0.7802197802197802,159.04000000000002,5.6000000000000005,80.52800000000002,25.704,6.775366090936392
50,0,71.0,25.16,161,1.17,848.0,0,5.0,1,170,0.9470588235294117,188.36999999999998,5.85,83.07,29.437199999999997,6.744059186311348
29,1,120.9,38.16,168,0.78,721.0,0,5.0,1,191,0.8795811518324608,131.04,3.9000000000000004,94.302,29.764799999999997,6.582025138892826
39,0,64.3,22.51,148,1.25,925.0,0,5.0,1,181,0.8176795580110497,185.0,6.25,80.375,28.137500000000003,6.8308742346461795
42,0,63.7,21.78,169,1.42,1080.0,0,5.0,1,178,0.949438202247191,239.98,7.1,90.454,30.9276,6.985641817639208
44,1,65.2,20.12,139,0.73,502.0,0,5.0,1,176,0.7897727272727273,101.47,3.65,47.596000000000004,14.6876,6.220590170099739
59,1,53.9,17.6,135,1.48,989.0,0,5.0,1,161,0.8385093167701864,199.8,7.4,79.77199999999999,26.048000000000002,6.897704943128636
45,1,84.9,24.54,136,1.64,1104.0,0,5.0,1,175,0.7771428571428571,223.04,8.2,139.236,40.245599999999996,7.007600613951853
33,0,78.0,27.64,135,1.29,871.0,0,5.0,1,187,0.7219251336898396,174.15,6.45,100.62,35.6556,6.77078942390898
32,1,108.2,33.4,138,1.27,964.0,0,5.0,1,188,0.7340425531914894,175.26,6.35,137.41400000000002,42.418,6.872128101338986
20,0,65.4,28.31,127,1.03,654.0,0,5.0,1,200,0.635,130.81,5.15,67.36200000000001,29.159299999999998,6.484635235635252
54,0,50.2,19.37,157,1.48,1046.0,0,5.0,1,166,0.9457831325301205,232.35999999999999,7.4,74.296,28.6676,6.953684210870537
24,0,58.9,25.83,157,1.04,816.0,0,5.0,1,196,0.8010204081632653,163.28,5.2,61.256,26.8632,6.705639094860003
38,1,81.4,27.84,148,1.52,1237.0,0,5.0,1,182,0.8131868131868132,224.96,7.6,123.72800000000001,42.3168,7.121252453244542
26,1,127.6,42.63,160,1.32,1162.0,0,5.0,1,194,0.8247422680412371,211.20000000000002,6.6000000000000005,168.432,56.27160000000001,7.0587581525186645
