,RF Importance,Permutation Importance,Combined Score
Session_Duration (hours),1.0,1.0,1.0
HR_Duration,0.0968,0.2764,0.1866
BMI_Duration,0.0321,0.2288,0.1305
Experience_Level,0.1077,0.1441,0.1259
Weight (kg),0.0349,0.1731,0.104
HR_Intensity_Ratio,0.0326,0.1685,0.1005
Weight_Duration,0.0298,0.1465,0.0882
BMI,0.034,0.1413,0.0877
Intensity_Duration,0.0279,0.1355,0.0817
Avg_BPM,0.0211,0.0991,0.0601
Fat_Percentage,0.0057,0.0875,0.0466
Max_BPM_calc,0.0155,0.0682,0.0419
Age,0.0149,0.0488,0.0319
Weather_Conditions,0.0074,0.0335,0.0205
Exercise_Intensity,0.0093,0.0317,0.0205
Gender,0.0058,0.0247,0.0152
wt_Yoga,0.0019,0.0081,0.005
Water_Intake (liters),0.0012,0.0052,0.0032
HR_Reserve,0.0008,0.0032,0.002
Resting_BPM,0.0004,0.0019,0.0011
Workout_Frequency (days/week),0.0002,0.0005,0.0003
wt_Strength,0.0,0.0001,0.0001
wt_HIIT,0.0,0.0,0.0
wt_Cardio,0.0,0.0,0.0
