,RF Importance,Permutation Importance,Combined Score
Session_Duration (hours),1.0,1.0,1.0
HR_Duration,0.0894,0.2454,0.1674
Intensity_Duration,0.0369,0.2051,0.121
Exercise_Intensity,0.039,0.1928,0.1159
Weight (kg),0.0439,0.1459,0.0949
BMI,0.0476,0.1332,0.0904
BMI_Duration,0.0276,0.1378,0.0827
HR_Intensity_Ratio,0.0267,0.107,0.0668
Weight_Duration,0.0251,0.1016,0.0633
Avg_BPM,0.0233,0.0751,0.0492
Weather_Conditions,0.0157,0.0654,0.0405
Max_BPM_calc,0.0112,0.0325,0.0219
Age,0.011,0.0306,0.0208
Gender,0.0,0.0,0.0
